gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
DPH2,2256.771377,-1.177441403,0.074775455,1.62E-56,4.45E-55,1802,diphthamide biosynthesis 2,
NCEH1,5058.256318,-1.367357999,0.086993177,1.96E-56,5.36E-55,57552,neutral cholesterol ester hydrolase 1,
EIF2S1,11663.38892,-1.108381067,0.070517713,2.86E-56,7.79E-55,1965,eukaryotic translation initiation factor 2 subunit alpha,
TCERG1,3227.715202,-1.114092751,0.071088427,5.89E-56,1.60E-54,10915,transcription elongation regulator 1,
NUDC,5451.252197,-1.024605338,0.065505852,9.93E-56,2.70E-54,10726,"nuclear distribution C, dynein complex regulator",
AADAT,704.5044243,-1.156404912,0.074005047,1.12E-55,3.04E-54,51166,aminoadipate aminotransferase,
MEF2A,1832.164124,1.220139557,0.078163578,1.33E-55,3.59E-54,4205,myocyte enhancer factor 2A,
AC006262.5,415.2724577,5.117287276,0.329572269,1.38E-55,3.72E-54,NA,NA,
FJX1,778.4706942,-1.478212277,0.094864745,1.44E-55,3.89E-54,24147,four-jointed box kinase 1,
RRP12,5113.281138,-1.323315308,0.084909897,1.68E-55,4.53E-54,23223,ribosomal RNA processing 12 homolog,
MAP3K8,295.1096776,1.705515146,0.109597237,1.79E-55,4.81E-54,1326,mitogen-activated protein kinase kinase kinase 8,
DFNA5,513.785977,1.694178852,0.108897114,1.82E-55,4.90E-54,NA,NA,
LRRC8B,284.768487,-1.623111515,0.104277153,1.84E-55,4.96E-54,23507,leucine rich repeat containing 8 VRAC subunit B,
COA7,1747.184213,-1.058091284,0.067874785,2.31E-55,6.20E-54,65260,cytochrome c oxidase assembly factor 7,
MCCC1,2260.309054,1.088161037,0.069828429,2.50E-55,6.70E-54,56922,methylcrotonyl-CoA carboxylase subunit 1,
PLEK2,3889.477613,-1.278511207,0.082256553,3.50E-55,9.35E-54,26499,pleckstrin 2,
FXYD3,110.3733188,3.9141818,0.252107243,3.98E-55,1.06E-53,5349,FXYD domain containing ion transport regulator 3,
TRIM54,422.4567882,2.018113464,0.130421733,5.38E-55,1.43E-53,57159,tripartite motif containing 54,
IL1RL1,86.10802938,-4.068943993,0.262070523,6.11E-55,1.62E-53,9173,interleukin 1 receptor like 1,
MTHFD1,11536.0709,-1.092407095,0.070373481,6.17E-55,1.64E-53,4522,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",
RP11-54O7.3,297.7158391,2.049429904,0.132548631,7.20E-55,1.91E-53,NA,NA,
SUV39H2,704.758866,-1.6223902,0.104963085,8.93E-55,2.37E-53,79723,SUV39H2 histone lysine methyltransferase,
PRMT7,1795.629787,-1.002114894,0.064622171,9.04E-55,2.39E-53,54496,protein arginine methyltransferase 7,
ZNF530,1017.974613,-1.389059959,0.089877125,1.19E-54,3.15E-53,348327,zinc finger protein 530,
GPRC5A,15353.24447,1.253538639,0.081176231,1.25E-54,3.29E-53,9052,G protein-coupled receptor class C group 5 member A,
ZNF563,477.0012019,1.389360377,0.089894279,1.30E-54,3.42E-53,147837,zinc finger protein 563,
PCMTD1,583.365041,1.27899885,0.082751,1.43E-54,3.77E-53,115294,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,
JAK3,372.5576567,2.097202032,0.136128691,1.69E-54,4.44E-53,3718,Janus kinase 3,
TGM2,9929.134843,-1.521900238,0.098612868,1.81E-54,4.75E-53,7052,transglutaminase 2,
SOD2,5825.748808,2.214733802,0.143943865,1.96E-54,5.16E-53,6648,superoxide dismutase 2,
SLC16A14,994.2990956,1.445321541,0.093816047,2.47E-54,6.46E-53,151473,solute carrier family 16 member 14,
MFSD12,11460.74186,1.537320324,0.099797355,2.53E-54,6.63E-53,126321,major facilitator superfamily domain containing 12,
DMC1,160.6557505,-2.274907923,0.14795571,2.65E-54,6.92E-53,11144,DNA meiotic recombinase 1,
TIMM10,2198.278776,-1.060932305,0.068770822,2.87E-54,7.48E-53,26519,translocase of inner mitochondrial membrane 10,
IQCD,533.9908421,1.80419867,0.117361728,2.97E-54,7.76E-53,115811,IQ motif containing D,
UBASH3B,2589.017641,-1.157283906,0.075155393,3.86E-54,1.00E-52,84959,ubiquitin associated and SH3 domain containing B,
TMEM109,4474.167245,-1.063438985,0.069093825,4.77E-54,1.24E-52,79073,transmembrane protein 109,
PYCRL,747.0076842,-1.612503537,0.105071945,4.98E-54,1.29E-52,NA,NA,
GALNT5,2870.791352,1.470150284,0.095760702,5.48E-54,1.42E-52,11227,polypeptide N-acetylgalactosaminyltransferase 5,
