gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description
RP11-29H23.2,5.781797454,0.029147785,0.423576966,0.926364595,0.953457617,NA,NA
RP11-162G10.4,1.37188206,0.02195773,0.563513098,0.926602711,0.953665508,NA,NA
RP5-988G15.1,1.611689684,0.025396949,0.532326386,0.926836078,0.953851927,NA,NA
BEST2,3.463467598,0.028363503,0.48158611,0.926856118,0.953851927,54831,bestrophin 2
RP11-200A1.1,3.986336371,0.02876027,0.461761639,0.926944305,0.953861689,NA,NA
RP11-299H22.5,1.477175046,-0.022946439,0.552816155,0.926924023,0.953861689,NA,NA
RP5-1042K10.13,4.5521212,-0.027905394,0.455468782,0.926974022,0.953861689,NA,NA
CEPT1,528.4859006,-0.007637004,0.085333068,0.927332493,0.954058525,10390,choline/ethanolamine phosphotransferase 1
A1CF,1.478742267,-0.023578582,0.546038485,0.927289691,0.954058525,29974,APOBEC1 complementation factor
RBMS2P1,8.089167088,-0.027057306,0.382694951,0.927270235,0.954058525,643427,RNA binding motif single stranded interacting protein 2 pseudogene 1
RP11-179F17.5,15.40653263,-0.023778627,0.304374887,0.927346043,0.954058525,NA,NA
KRT34,9.920263685,-0.026776411,0.375429705,0.927286724,0.954058525,3885,keratin 34
RP11-386I14.4,1.277491227,-0.021823041,0.560018644,0.927576295,0.954063394,NA,NA
CTD-2090I13.4,11.80350119,-0.02489313,0.331788071,0.928017297,0.954063394,NA,NA
RP11-641D5.1,20.88369025,0.022723221,0.27552584,0.927611487,0.954063394,NA,NA
RP11-557J10.3,5.513494598,0.028497795,0.431897533,0.928005048,0.954063394,NA,NA
RP3-403A15.1,1.211842825,-0.022000984,0.559444644,0.927750726,0.954063394,NA,NA
DENND5A,4232.973379,-0.006239369,0.079213139,0.927810663,0.954063394,23258,DENN domain containing 5A
RP11-484D2.4,1.222487654,-0.022145138,0.55769165,0.927932344,0.954063394,NA,NA
