category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,15/783,93/6540,0.16129032258064516,1.347175874428377,1.2435138083912702,0.14026629503107155,0.5962879712212904,0.5366496926558283,6773/868/3593/22808/6237/4776/834/10379/64581/7124/51561/3569/5602/6361/3553,15
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,18/783,115/6540,0.1565217391304348,1.307346326836582,1.2262494237403776,0.1405149901971621,0.5962879712212904,0.5366496926558283,6773/1489/3593/3718/5292/2057/10379/163702/3560/1026/5155/51561/6775/3569/5159/50615/50604/3456,18
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,19/783,123/6540,0.15447154471544716,1.290222097623275,1.1982721006630594,0.14542247461431956,0.6051138325291986,0.5445928274948744,183/57121/5337/8605/22808/6237/8611/3643/196883/5155/23533/25759/5159/23236/2912/123745/3815/2911/2914,19
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,21/783,138/6540,0.15217391304347827,1.2710311510911212,1.186695656721634,0.14626001300837688,0.6051138325291986,0.5445928274948744,26471/4804/3486/3728/4094/1643/3398/1649/7113/604/64332/8938/4616/3560/7849/1026/3569/9915/3248/51513/8842,21
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,26/783,176/6540,0.14772727272727273,1.2338906304423547,1.1599586501617036,0.14885914791507016,0.6051138325291986,0.5445928274948744,4804/57121/3690/1942/22808/57568/6237/10451/3643/5909/2357/2903/3674/25780/5582/196883/5155/54518/9965/2533/5159/23236/1943/2254/8822/3815,26
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,20/783,131/6540,0.15267175572519084,1.2751893773215173,1.1733041656002872,0.14990735428215798,0.6051138325291986,0.5445928274948744,6773/4599/4939/4600/4938/5465/9076/317/6041/91543/3665/10379/137075/1026/7124/1364/1366/7098/3456/51208,20
NA,NA,hsa04519,Cadherin signaling,44/783,316/6540,0.13924050632911392,1.163004995392599,1.0953378573879766,0.15697256014259464,0.6259990049060099,0.5633891505434913,3872/3728/3868/147798/4647/5099/5097/3887/22808/83464/3892/6237/10451/10184/1001/1824/83439/1674/3856/3855/6324/56121/4642/653857/4542/259236/56127/56099/117531/1016/56126/54361/6330/5159/3889/5602/1014/1496/1003/3891/3857/1825/1015/1823,44
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,10/783,59/6540,0.1694915254237288,1.4156763426196506,1.1827657455370464,0.16191489710832524,0.6332097101007359,0.5698786705629137,1777/653082/834/3665/11035/6352/4210/3569/3553/3456,10
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,14/783,88/6540,0.1590909090909091,1.3288052943225357,1.1451737738887837,0.1626067231376512,0.6332097101007359,0.5698786705629137,3690/728/718/10014/834/2357/64581/2212/3674/5582/7097/23236/27180/7450,14
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,15/783,96/6540,0.15625,1.3050766283524904,1.1104658917838455,0.16912944765902307,0.6473073542260355,0.5825663261121579,183/79660/51085/5465/11000/376497/3643/4846/8660/7124/84699/3569/5602/10891/948,15
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,26/783,179/6540,0.1452513966480447,1.2132108992058908,1.0666247441446555,0.17013818676031747,0.6473073542260355,0.5825663261121579,3593/6648/1649/10451/317/834/4846/6347/3665/8743/2920/6352/2921/7124/25833/1543/7097/23643/3569/3929/5602/815/23236/3553/948/3456,26
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,9/783,53/6540,0.16981132075471697,1.4183474300585557,1.127694666048661,0.17704555835697725,0.6659327251836303,0.5993288638160833,6696/8912/57657/778/610/5582/23236/3782/3780,9
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,19/783,127/6540,0.14960629921259844,1.2495851811626997,1.0474383519220545,0.17973442062481493,0.6684504856945365,0.601594808241545,245972/715/3690/7846/7059/3133/718/3134/5869/1520/50617/64581/2212/22925/7097/347733/1780/948/6441,19
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,4/783,19/6540,0.21052631578947367,1.758419036095987,1.2208642044855116,0.18533406731361746,0.6816175142311931,0.6134449245585233,8605/8398/64600/123745,4
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,21/783,144/6540,0.14583333333333334,1.218071519795658,0.975808066298353,0.19609397296256892,0.7101854949863854,0.639155652985044,5627/3690/489/8398/100133941/5869/29933/4776/2057/834/575/64284/338440/8578/1850/4035/1901/815/246/240/948,21
